SMILES,cmpd_id,binary_occ,cont_occ,low_gsh_prob,med_gsh_prob,high_gsh_prob,selectivity
CCS(=O)(=O)c1ccccc1C(=O)N1CCO[C@H](C)C1,cmpd_0,3.3602936267852783,0.5709902048110962,0.20276345,0.70510941,0.09212714,0.1738610903659447
O=C(OCC(=O)N1CCCC1)c1ccccc1OC(F)F,cmpd_1,4.685175895690918,0.6081709265708923,0.22512906,0.59567744,0.17919351,0.1584764749813293
Cn1cc[nH+]c1C[C@@H]1CCCN(C(=O)N[C@@H]2C[C@@H]3CCCc4cccc2c43)C1,cmpd_2,1.9413964748382568,0.5043970942497253,0.21963246,0.66135682,0.11901073,0.0486930545182972
CCC(CC)(NC(=O)N(C)C1CC[NH2+]CC1)C(=O)[O-],cmpd_3,1.3040024042129517,0.5010007619857788,0.27536331,0.5050366,0.21960009,0.29932785660941
CC(=O)[C@H](C)Sc1nc2sc3c(c2c(=O)n1C)CC[C@H](C)C3,cmpd_4,1.304547905921936,0.5036318302154541,0.13456059,0.57369428,0.29174514,0.0646751306945481
Cc1ccc(NC(=O)C2CCN(S(=O)(=O)c3cccs3)CC2)cc1Cl,cmpd_5,2.0897014141082764,0.5225970149040222,0.25997252,0.59713915,0.14288832,0.0209111277072442
COC(=O)[C@]1(C#N)C(C)(C)[C@@]1(C#N)C(=O)OC,cmpd_6,1.7318055629730225,0.5374821424484253,0.14980554,0.66837995,0.18181451,0.1254667662434652
Cc1ccc(Cl)cc1S(=O)(=O)N(Cc1ccsc1)Cc1ccco1,cmpd_7,2.5561270713806152,0.56019526720047,0.18814423,0.27559433,0.53626145,0.0603435399551904
C[NH2+]CC(C)(C)COc1ccccc1F,cmpd_8,1.7503982782363892,0.5295373201370239,0.15941153,0.41150206,0.4290864,0.3023151605675877
O=C(COC(=O)c1ccc(-n2cnnn2)cc1)Nc1cc(Cl)ccc1F,cmpd_9,-0.6356002688407898,0.5001139640808105,0.26554594,0.48867606,0.24577798,0.2056758775205377
Cc1ccccc1OCCCN(C)C(=O)N[C@@H]1C=C[C@H](CO)C1,cmpd_10,0.4339983165264129,0.5266016721725464,0.0953328,0.84186831,0.06279888,0.0710978342046303
Cn1c(CCNC(=O)c2cc(Br)cnc2Cl)n[nH]c1=S,cmpd_11,-0.4170585572719574,0.5058138370513916,0.09224106,0.84143665,0.06632227,0.1481702763256161
CCOC(=O)c1ccc2c(c1)nnn2C,cmpd_12,4.049006938934326,0.5651519894599915,0.09639552,0.63716664,0.26643784,0.0192681105302464
C[C@@H]1CC[C@@H](C(N)=O)C[NH+]1CCOc1ccccc1,cmpd_13,0.8670318126678467,0.5057438015937805,0.18176586,0.52872892,0.28950522,0.0253920836445108
Cc1cccc(/C=C/C(=O)Nc2ccc3c(c2)OCCCO3)c1,cmpd_14,2.3965446949005127,0.5229941010475159,0.2743974,0.54975824,0.17584435,0.2249439880507841
