cmpd_id,binary_occ,cont_occ,low_gsh_prob,med_gsh_prob,high_gsh_prob,selectivity
cmpd_0,3.3602936267852783,0.5709902048110962,0.20276345,0.70510941,0.09212714,0.1738610903659447
cmpd_1,4.685175895690918,0.6081709265708923,0.22512906,0.59567744,0.17919351,0.1584764749813293
cmpd_2,1.9413964748382568,0.5043970942497253,0.21963246,0.66135682,0.11901073,0.0486930545182972
cmpd_3,1.3040024042129517,0.5010007619857788,0.27536331,0.5050366,0.21960009,0.29932785660941
cmpd_4,1.304547905921936,0.5036318302154541,0.13456059,0.57369428,0.29174514,0.0646751306945481
cmpd_5,2.0897014141082764,0.5225970149040222,0.25997252,0.59713915,0.14288832,0.0209111277072442
cmpd_6,1.7318055629730225,0.5374821424484253,0.14980554,0.66837995,0.18181451,0.1254667662434652
cmpd_7,2.5561270713806152,0.56019526720047,0.18814423,0.27559433,0.53626145,0.0603435399551904
cmpd_8,1.7503982782363892,0.5295373201370239,0.15941153,0.41150206,0.4290864,0.3023151605675877
cmpd_9,-0.6356002688407898,0.5001139640808105,0.26554594,0.48867606,0.24577798,0.2056758775205377
cmpd_10,0.4339983165264129,0.5266016721725464,0.0953328,0.84186831,0.06279888,0.0710978342046303
cmpd_11,-0.4170585572719574,0.5058138370513916,0.09224106,0.84143665,0.06632227,0.1481702763256161
cmpd_12,4.049006938934326,0.5651519894599915,0.09639552,0.63716664,0.26643784,0.0192681105302464
cmpd_13,0.8670318126678467,0.5057438015937805,0.18176586,0.52872892,0.28950522,0.0253920836445108
cmpd_14,2.3965446949005127,0.5229941010475159,0.2743974,0.54975824,0.17584435,0.2249439880507841
cmpd_15,1.857209086418152,0.5536149144172668,0.08557998,0.86811302,0.04630701,0.2440627333831217
cmpd_16,2.583636283874512,0.5155326724052429,0.1884962,0.61961403,0.19188979,0.1876026885735623
cmpd_17,2.488471508026123,0.5490532517433167,0.22693383,0.55317806,0.21988811,0.0061239731142643
cmpd_18,1.27043354511261,0.5101369023323059,0.1606598,0.71539793,0.12394227,0.0026885735623599
cmpd_19,0.7584710121154785,0.5086604356765747,0.18616613,0.55310611,0.26072777,0.2572068707991038
cmpd_20,4.319835662841797,0.533170759677887,0.14268858,0.60951653,0.24779486,0.2431665421956684
cmpd_21,1.1943552494049072,0.5138004422187805,0.12035132,0.72709646,0.15255221,0.230470500373413
cmpd_22,0.8766367435455322,0.5005471110343933,0.20958062,0.56656544,0.22385393,0.1263629574309186
cmpd_23,1.9814550876617432,0.526965856552124,0.21310058,0.60095027,0.18594916,0.3938760268857356
cmpd_24,4.670872211456299,0.5586725473403931,0.25014734,0.58717541,0.16267724,0.3366691560866318
cmpd_25,0.0616188012063503,0.5051282644271851,0.23465164,0.63268421,0.13266416,0.3905899925317401
cmpd_26,2.0590620040893555,0.5455384850502014,0.26839409,0.69483247,0.03677346,0.2954443614637789
cmpd_27,3.7824413776397705,0.5629428029060364,0.09683539,0.86498829,0.03817631,0.237042569081404
cmpd_28,1.100179672241211,0.5351967811584473,0.24967231,0.5856955,0.1646322,0.3245705750560119
cmpd_29,1.4861605167388916,0.5480847954750061,0.16562118,0.63155981,0.20281899,0.250336071695295
cmpd_30,4.319835662841797,0.533170759677887,0.14268858,0.60951653,0.24779486,0.2431665421956684
cmpd_31,1.2308506965637207,0.5082136988639832,0.25327592,0.6154744,0.13124968,0.2364451082897684
cmpd_32,0.9866600036621094,0.5023903846740723,0.16912346,0.73626018,0.09461635,0.3554891710231516
